filename,membrane,excerpt,score,permeability,excerpt,score,selectivity,excerpt,score
Aluminophosphate-17 and silicoaluminophosphate-17 membranes for CO2 separations.pdf,zeolite,"Zeolite membranes have the great potential to effectively separate CO2 from natural gas and ﬂue gas mixtures due to high separation performance and superior chemical and thermal sta- bilities [2], compared with polymeric membranes.",9,1.0 x 10-6 mol m-2 s-1 Pa-1 (3000 GPU),"Fig. 4 a shows single-gas permeances through a SAPO-17 membrane M1 as a function of molecular kinetic diameter. Note that log-scale was used for the permeance. Carbon dioxide had the highest permeances, although H 2 is the smallest molecule. This is because CO 2 strongly absorbs on SAPO-17 crystals [17]. From CO 2 to C 3H8, the permeance significantly decreased with increasing molecular size, indicating that diffusivities of gas molecules decreased as their sizes approach the pore size of SAPO-17. The single-gas permeance for CO 2 was as high as 1.0 x 10-6 mol/(m2s Pa) (3000 GPU), 1 GPU = 3.348 x 10-10 mol/(m2s Pa). Fig. 4 b (Inset of Fig. 4 a) shows that the ideal selectivities for CO 2/CH 4, CO 2/N2 and H 2/CH 4 were 36, 10 and 19, respectively.",9,14,"The best CO 2/CH 4 separation membrane, M1, was also used for separating an equimolar CO 2/N2 mixture. The CO 2 permeance was 8/C210/C07mol/(m2s Pa) (2400 GPU) and the CO 2/N2 selectivity was 14.",9
Rui - Metal‐organic framework membrane process for high purity CO2 production.pdf,MOF-membranes,"Gas separation by metal-organic framework (MOF) membranes is an emerging research field. Their commercial application potential is, however, still rarely explored due in part to unsatisfied separation characteristics and difficulty in finding suitable applications. Herein, we report “sharp molecular sieving” properties of high quality isoreticular MOF-1 (IRMOF-1) membrane for CO2 separation for the production of high grade CO 2 from industrial grade or lower CO 2 feed gas, and demonstrates the commercial potential of a MOF membrane for gas separation.",9,2.0631027 mol m22s21Pa21,"The IRMOF-1 membranes exhibit CO 2/CH 4 and CO 2/N2 separation factors of 328 and 410 with CO 2 permeance of 2.55 31027 and 2.0631027 mol m22s21Pa21 at feed pressure of 505 kPa and 298 K, respectively.",9,410,The IRMOF-1 membranes here exhibit a separation factor for CO 2/N2 as high as 410 at xCO2 87.4% and a CO 2 permeance of 2.0631027 mol m22s21Pa21,9
Improved AlPO-18 membranes for light gas.pdf,zeolite,AlPO-18 membranes were synthesized on the outer surface of the symmetric porous α-alumina tubes by secondary growth.,9,6.3×10-7 mol/(m2 s Pa) (= 1880 GPU),Fig. 8 Temperature dependence of selectivity and permeance through AlPO-18 membrane (M2) in equimolar CO 2/N2 mixture at 0.303 MPa feed pressure and 0.103 MPa permeate pressure. Single-gas permeance and ideal selectivity are shown for comparison. The solid symbols represent the data in mixtures and the open ones,9,45,"At 298 K and 0.2 MPa pressure drop, CO 2 permeance and CO 2/N2 selectivity in equimolar CO 2/N2 mixture through AlPO-18 membrane (M2) were 6.3×10-7 mol/(m2 s Pa) (= 1880 GPU) and 45, respectively.",9
High-performance multiple-layer PIM composite hollow fiber membranes.pdf,Polymers of intrinsic microporosity,The invention of polymers of intrinsic microporosity (PIMs) has opened up great opportunities for the developments of high-performance composite membranes which possess both high gas permeance and selectivity.,9,The maximum CO2 permeability(permeance) of the membrane for CO2/N2 mixture in this work is not provided in the given text.,N/A,0,The CO2/N2 selectivity for the given permeability reported in this study is 22.5,"The corresponding CO2/N2 selectivity of the composite membranes is presented in Fig. 7B. Generally, the CO2/N2 selectivity above 20 suggests that the PIM composite membranes are defect-free because the intrinsic CO2/N2 selectivities of PIM-1 and PIM-CD are about 20 –22(Table 3).",9
Silica supported SAPO-34 membranes for CO2 N2 separation.pdf,SAPO-34,SAPO-34 is potential membrane material for CO2/N2 separation.,9,2.01 �10�6 mol/m2 s Pa,It was demonstrated by single-gas permeation test that the SAPO-34-M2 membrane could surpass the Robeson plot (2008) for CO2/N2 separation (permeance ¼2.01 ( �10�6 mol/m2 s Pa; the highest selectivity ¼53).,9,The CO2/N2 selectivity for the given permeability reported in this study is 53.0,"It resulted in pure SAPO-34 and lower calcination temperature needed. XRF analysis of SAPO-34 membrane proves that the Si/Al ratio was about 0.49. With this composition, the membrane is expected to pose high CO2 adsorption capacity, pure SAPO-34 framework, and well-distributed Si content in the membrane structure. 3.3. CO2/N2 separation CO2 permeance and CO2/N2 selectivity of SAPO-34 membranes are depicted in Fig. 5. As shown in Fig. 5 a and b, CO2 and N2 fluxes increase with increasing transmembrane pressure. It is obvious since higher pressure results in higher concentration difference between feed and permeate side leading to higher mass transfer or flux. An interesting result was observed in N2 flux of SAPO-34-M2 (shown in Fig. 5 b’). There are two regions in N2 flux vs trans-membrane pressure curve of SAPO- 34-M2. N2 flux is more pronounced in region II than in region I. It might imply that the concentration polarization occurred on the mem-concentration polarization on N2 permeation at higher pressure. The concentration polarization phenomenon resulted in a decrease of CO2/ N2 selectivity with increasing transmembrane pressure. It was demon - strated by single-gas permeation test that the SAPO-34-M2 membrane could surpass the Robeson plot (2008) for CO2/N2 separation (per- meance ¼2.01 ( �10�6 mol/m2 s Pa; the highest selectivity ¼53). The results showed that the prepared SAPO-34 membrane could be a po- tential alternative for CO2/N2 separation.",9
A synergistic strategy via the combination of multiple functional.pdf,glassy polymers at room temperature,"indicates that the synthesized materials are glassy polymers at room temperature. PDADMACA shows a higher glass transition tempera- ture than PVAm, which is probably due to that it possesses a large heterocyclic structure that limits the chain mobility.",9,The maximum CO2 permeance for the CO2/N2 mixture in this work is not explicitly stated in the provided text.,The text does not provide a specific value for the maximum CO2 permeance for the CO2/N2 mixture in this work.,8,85,"Fig. 9 illustrates that P(DADMACA-co-VAm) membrane displays attractive separation performances for CO 2/CH 4 and CO 2/H2 mixed gas. For example, CO 2 permeance of 1636 GPU with CO 2/CH 4 selectivity of 85 and CO 2 permeance of 921 GPU with CO 2/H2 selectivity of 29 could be achieved at 0.11 MPa feed pressure.",9
Highly permeable carbon molecular sieve membranes for eﬃcient CO2 N2 separation at ambient and subambient temperatures.pdf,Carbon molecular sieve,"In the present work, highly permeable ULT-CMS hollow ﬁber membranes for CO 2/N2separation at ambient and subambient tem- peratures were investigated. The ultra-thin skin CMS membranes were prepared from dual layer polymer precursor membranes with con- trolled skin thickness ≤1μm and open pores in substructure on pyr- olysis. DETDA/TMC hybridization before pyrolysis provides defect free CMS membranes with intrinsic selectivity for CO 2/N2.",9,3500 GPU,"Fig. 5 shows the change in CO 2 permeance (5a) and CO 2/N2 selectivity (5b) by step wise decreasing the temperature from 35 °C to −20 °C and back to 35 °C. CMS1 showed CO 2 permeance ∼2800 GPU with ∼30 selectivity for CO 2/N2 at 35 °C. On the other hand, CMS-2 showed higher CO 2 permeance, i.e., ∼3500 GPU than CMS-1 due to",9,26,"Fig. 5. Mixed gas CO 2permeance (a) and CO 2/N2selectivity (b) plots of CMS1 and CMS2 at 35, 10, −10 and−20 °C and back to 35 °C. Feed was introduced on shell side at 100 psia feed pressure using 20 mol% CO 2and 80 mol% N 2.R. Kumar, et al. Journal of Membrane Science 583 (2019) 9–15 14showed higher CO 2permeance, i.e., ∼3500 GPU than CMS-1 due to thinner skin (0.7 μmvs1μm) and CO 2/N2selectivity ∼26 at 35 °C.",9
wu-et-al-2019-polydopamine-modified-metal-organic-framework-membrane-with-enhanced-selectivity-for-carbon-capture.pdf,MOF-membranes,"From the economic evaluation, the membranes with high permeance over 1000 GPU (1 GPU = 3.348 ×10−10mol m−2 s−1Pa−1) and good selectivity larger than 20 are desired for CO 2capture from ﬂue gases.12,38Therefore, the CO 2 separation performance of MOF membranes should be improved further.",9,3.7 ×10−7mol m−2s−1Pa−1(1115 GPU),"Meanwhile, because PDA modi ﬁca- tion do not change UiO-66 intrinsic pores and membrane thickness is submicrometer-sized, the CO 2permeance is 2 −3 orders of magnitude larger than those membranes with similar selectivity, up to 3.7 ×10−7mol m−2s−1Pa−1(1115 GPU).",9,47.4,"Furthermore, the ideal selectivities increased substantially, and reached at 13.6 (H 2/N2), 7.7 (H 2/CH 4), 47.4 (CO2/N2), and 26.9 (CO2/CH4)(Figure 5 b and SI Table S1).",9
Highly permeable thermally rearranged polymer composite.pdf,thermal rearrangement polymers,"In summary, we have developed a facile strategy for fabrication of ultrathin TR-PBOI membranes by spin-coating of the precursor solution of GO-PI on an inorganic substrate AAO and subsequent TR process at 425°C.",9,The maximum CO2 permeability of the membrane for CO2/N2 mixture in this work is 1149 GPU.,"The CO2 permeance was increased to 1149 GPU when the membrane was prepared from the 1.5 wt% solution, while its CO2/CH4 selectivity remained similar (39).",9,The CO2/N2 selectivity for the given permeability reported in this study is 18.2.,"CO 2 permeance and selectivity of rGO-PBOI membranes for CO 2/CH 4 and CO 2/N2 are shown in Fig. 4  with a comparison of highly CO 2 permeable membranes reported in the literature. Various membrane materials, such as TR-polymers,17, 40",9
Metal-induced ordered microporous polymers for fabricating large-area gas separation membranes.pdf,Polyvinylamine (PV Am),"The present MMPs exhibit excellent hydrolytic stability and size controllability in term of frameworks and crystals, largely distinct from the polyMOFs synthesized by functional polymers and metal ions",8,"3,000 GPU","Humidified gas permeances of the membranes were tested by using CO2/N2 mixed gas (15/85 by volume) at 298 K. Average values and standard deviations were calculated from measurements of three separate membranes, which were prepared under the same conditions.",8,78,"Compared with other membranes reported in the literature, the MMP-3/mPSf membrane displays much higher CO2 permeance and comparable CO2/N2 selectivity.",9
