filename,membrane,excerpt,score,permeability,excerpt,score,selectivity,excerpt,score
Aluminophosphate-17 and silicoaluminophosphate-17 membranes for CO2 separations.pdf,SAPO-17 and AlPO-17,Reproducible and high-quality ERI-type SAPO-17 and AlPO-17 membranes were prepared by secondary growth using low-cost symmetric tubular ceramic supports.,9,The maximum CO2 permeability (permeance) of the membrane for CO2/N2 mixture in this work is not provided.,DO NOT provide values for other mixtures such as CO2/CH4.,8,14,"The best CO 2/CH 4 separation membrane, M1, was also used for separating an equimolar CO 2/N2 mixture. The CO 2 permeance was 8/C210/C07mol/(m2s Pa) (2400 GPU) and the CO 2/N2 selectivity was 14.",9
Rui - Metal‐organic framework membrane process for high purity CO2 production.pdf,Metal-Organic Framework (MOF) membranes,Gas separation by metal-organic framework (MOF) membranes is an emerging research field.,9,2.0631027 mol m22s21Pa21,"The IRMOF-1 membranes exhibit CO 2/CH 4 and CO 2/N2 separation factors of 328 and 410 with CO 2 permeance of 2.55 31027 and 2.0631027 mol m22s21Pa21 at feed pressure of 505 kPa and 298 K, respectively.",9,410,The IRMOF-1 membranes here exhibit a separation factor for CO 2/N2 as high as 410 at xCO2 587.4% and a CO 2 permeance of 2.0631027 mol m22s21Pa21,9
Improved AlPO-18 membranes for light gas.pdf,AlPO-18 membranes,AlPO-18 membranes were synthesized on the outer surface of the symmetric porous α-alumina tubes by secondary growth.,9,6.5 x 10-7 mol/(m2 s Pa),Membrane M2 displayed a CO 2 permeance of 6.5×10-7 mol/(m2 s Pa) (= 1940 GPU) and CO 2/CH 4 selectivity of 220 at 298 K in equimolar CO 2/CH 4 mixture.,9,45,"At 298 K and 0.2 MPa pressure drop, CO 2 permeance and CO 2/N2 selectivity in equimolar CO 2/N2 mixture through AlPO-18 membrane (M2) were 6.3×10-7 mol/(m2 s Pa) (= 1880 GPU) and 45, respectively.",9
High-performance multiple-layer PIM composite hollow fiber membranes.pdf,polymers of intrinsic porosity,The invention of polymers of intrinsic microporosity (PIMs) has opened up great opportunities for the developments of high-performance composite membranes which possess both high gas permeance and selectivity.,9,The maximum CO2 permeability (permeance) of the membrane for CO2/N2 mixture in this work is not provided in the given text.,not found,0,The CO2/N2 selectivity for the given permeability is not provided in the given text.,The maximum CO2 permeability (permeance) of the membrane for CO2/N2 mixture in this work is not provided in the given text.,8
Silica supported SAPO-34 membranes for CO2 N2 separation.pdf,SAPO-34,SAPO-34 is potential membrane material for CO2/N2 separation.,9,2.01 x 10-6 mol/m2 s Pa,SAPO-34-M2/ silica tube 0.38 27 2.01 16.9 –53.0 This work,9,53,The results showed that the prepared SAPO-34 membrane could be a potential alternative for CO2/N2 separation.,9
A synergistic strategy via the combination of multiple functional.pdf,facilitated transport,"Facilitated transport membranes for CO 2separation could simul- taneously improve permeability and selectivity owing to reversible reactions of functional groups, such as amino group [19–22], carbonate group [23–25] and carboxylate group [26,27] with the target gas-CO 2based on nucleophilic addition mechanism.",9,1842 GPU,"the permeance of CO 2and N 2is 1842 GPU and 11.5 GPU, respectively.",9,CO2/N2 selectivity is not provided in the given text.,CO2/N2 selectivity is not provided in the given text.,0
Highly permeable carbon molecular sieve membranes for eﬃcient CO2 N2 separation at ambient and subambient temperatures.pdf,Carbon molecular sieve,Here we describe highly permeable ultra-thin skin CMS (ULT-CMS) membranes with CO 2permeance > 3000 GPU at 35 °C and > 2500 GPU at −20 °C with 2-3x417–434.,9,The maximum CO2 permeability (permeance) of the membrane for CO2/N2 mixture in this work is 3500 GPU at ambient temperature and 2500 GPU at subambient temperature.,"Fig. 5 shows the change in CO2 permeance (5a) and CO2/N2 selectivity (5b) by step wise decreasing the temperature from 35 °C to −20 °C and back to 35 °C. CMS1 showed CO2 permeance ∼2800 GPU with ∼30 selectivity for CO2/N2 at 35 °C. On the other hand, CMS-2 showed higher CO2 permeance, i.e., ∼3500 GPU than CMS-1 due to thinner skin (0.7 μm vs 1 μm) and CO2/N2 selectivity ∼26 at 35 °C.",9,26,"Fig. 5. Mixed gas CO 2permeance (a) and CO 2/N2selectivity (b) plots of CMS1 and CMS2 at 35, 10, −10 and−20 °C and back to 35 °C. Feed was introduced on shell
side at 100 psia feed pressure using 20 mol% CO 2and 80 mol% N 2.R. Kumar, et al. Journal of Membrane Science 583 (2019) 9–15
14showed higher CO 2permeance, i.e., ∼3500 GPU than CMS-1 due to
thinner skin (0.7 μmvs1μm) and CO 2/N2selectivity ∼26 at 35 °C.",9
wu-et-al-2019-polydopamine-modified-metal-organic-framework-membrane-with-enhanced-selectivity-for-carbon-capture.pdf,MOF membranes,"For examples, the CuBTC membranes exhibited high permeance and H2/CO2selectivity about 7 −10,27,28the",8,3.7 ×10−7mol m−2s−1Pa−1 (1115 GPU),"the CO 2permeance is 2 −3 orders of magnitude larger than those membranes with similar selectivity, up to 3.7 ×10−7mol m−2s−1Pa−1(1115 GPU)",9,47.4,"Furthermore, the ideal selectivities increased substantially, and reached at 13.6 (H 2/N2), 7.7 (H 2/CH 4), 47.4 (CO2/N2), and 26.9 (CO2/CH4)(Figure 5 b and SI Table S1).",9
Highly permeable thermally rearranged polymer composite.pdf,Thermally rearranged (TR) polymers,"Thermally rearranged (TR) polymers are an important class of microporous polymers with remarkable gas transport performance, particularly suitable for CO2 permeation and separation over large gas molecules.",9,872 GPU,rGO-PBOI-2.2 membranes exhibited CO 2 permeance of 872 GPU,9,17.7,"Moreover, high CO 2/N2 selectivity of 17.7 for rGO-PBIO-1.0 membranes is very promising for post-combustion CO 2 capture process.",9
Metal-induced ordered microporous polymers for fabricating large-area gas separation membranes.pdf,microporous polymers (MMPs),"microporous polymers (MMPs). Specifically, the MMPs are constructed from amine-rich polymers, divalent metal ions and small organic linkers containing both halogen and carboxylic acid groups.",9,The maximum CO2 permeability (permeance) of the membrane for CO2/N2 mixture in this work is not provided in the given text.,not found,8,The CO2/N2 selectivity for the given permeability is not provided in the given text.,The maximum CO2 permeability (permeance) of the membrane for CO2/N2 mixture in this work is not provided in the given text.,9
